idx,formula,a_site,regime,er_measured,pred_original,perm_mean,perm_std,perm_delta
770,SrSm0.5Nb0.5O3,Sr,III,35.5,35.694496,34.53605312347412,2.685979981756273,-1.1584430313110374
771,SrEu0.5Nb0.5O3,Sr,III,34.3,33.809593,33.52868370056152,1.8843529493928655,-0.28090950012207117
772,SrGd0.5Nb0.5O3,Sr,III,33.5,33.836357,32.30092071533203,2.314578508820025,-1.5354364013671855
773,SrTb0.5Nb0.5O3,Sr,III,32.3,32.342663,31.698862571716308,1.762628070819398,-0.6438002395629887
774,SrDy0.5Nb0.5O3,Sr,III,31.2,31.300283,30.79677978515625,1.5997723456450246,-0.5035036468505858
775,SrHo0.5Nb0.5O3,Sr,III,30.6,30.75056,30.100675888061524,1.3681390567956393,-0.6498848724365232
776,SrY0.5Nb0.5O3,Sr,III,30.7,31.40092,30.666631278991698,1.8014501121213997,-0.7342895889282239
777,SrIn0.5Nb0.5O3,Sr,III,25.0,23.987074,25.05391784667969,1.9992579753223472,1.0668439483642587
778,BaNi0.0417Zr0.0300Zn0.2817Ta0.6467O3,Ba,Ib,29.6,28.835978,28.20499897003174,1.0734051718907534,-0.6309785842895508
779,SrEr0.5Nb0.5O3,Sr,III,31.1,29.444519,28.47331527709961,1.6451055981578497,-0.9712037658691415
780,SrYb0.5Nb0.5O3,Sr,III,29.3,28.04566,27.316595993041993,1.447563060794283,-0.7290640258789054
781,SrNd0.5Nb0.5O3,Sr,III,36.5,33.70249,31.614263305664064,2.4130269706797494,-2.088228454589842
782,SmZn0.5Ti0.5O3,Other,III,31.0,29.06347,28.65842445373535,0.5339536214517963,-0.4050463867187517
783,SrLa0.5Nb0.5O3,Sr,III,36.0,33.077484,31.13377410888672,1.9978373330389827,-1.943710021972656
784,Sm0.95Ca0.04Sr0.01Mg0.475Ti0.525O3,Other,III,26.6,26.173239,25.80943603515625,0.4412923201387879,-0.36380271911621165
785,La5Mg0.5Ti3.5O15,Other,II,36.2,34.857925,35.68151725769043,0.8393295559160596,0.8235918426513678
786,La5Zn0.5Ti3.5O15,Other,II,37.71,35.80564,36.61767387390137,0.8009959393901785,0.8120326995849609
787,La5AlTi3O15,Other,II,32.98,30.597317,31.786311264038087,1.0322288584874768,1.1889945220947276
788,BaLi0.3889Nb0.5W0.2O3,Ba,Ib,31.0,46.72455,46.72454833984375,0.0,0.0
789,BaNi0.0125Zr0.0500Zn0.3042Ta0.6333O3,Ba,Ib,30.1,29.531338,28.54194107055664,1.2213412086615734,-0.9893966674804702
790,Pb0.16La0.56Mg0.5W0.5O3,Other,III,28.7,27.616825,25.415172004699706,2.04756677426094,-2.20165309906006
791,Ba0.95Sr0.05Zn0.475Ga0.025Ta0.6583O3,Ba,Ib,29.0,31.95487,32.46024749755859,0.8533411586651853,0.5053772735595672
792,BaZr0.0125Zn0.2633Ni0.0658Ta0.6583O3,Ba,Ib,28.2,28.11506,29.09736316680908,1.3552547172266143,0.9823023605346677
793,BaZr0.0215Zn0.2720Ni0.0542Ta0.6523O3,Ba,Ib,28.7,28.483753,29.78186019897461,1.5252451228568242,1.298106994628906
794,BaZr0.0300Zn0.2817Ni0.0417Ta0.6467O3,Ba,Ib,29.3,29.28363,29.07585475921631,1.504572309378082,-0.20777561187744098
795,BaZr0.0500Zn0.3042Ni0.0125Ta0.6333O3,Ba,Ib,30.7,29.813839,29.0703258895874,2.024656045381858,-0.7435130691528329
796,LaMg0.35Zn0.15Ti0.5O3,Other,III,29.0,29.402658,29.108886032104493,0.7255805298528398,-0.29377243041992074
797,La0.2Ca0.64Sm0.1067Mg0.1Ti0.9O3,Ca,III,72.41,72.33281,68.92349380493164,6.823091637140451,-3.409315643310549
